name,url,address,phone,hours,reviews,websites
Four Winds Convenience Store,https://www.google.com/maps/place/Four+Winds+Convenience+Store/data=!4m7!3m6!1s0x87227330ae23c64f:0x5a2d6df6d85983dd!8m2!3d35.1092933!4d-106.6591123!16s%2Fg%2F11b61r27v0!19sChIJT8YjrjBzIocR3YNZ2PZtLVo?authuser=0&hl=de&rclk=1,"2401 12th St NW, Albuquerque, NM 87104, Vereinigte Staaten",+1 505-724-3527,No Hours,4.0,indianpueblo.org
Laguna Burger at Route 66 Casino,https://www.google.com/maps/place/Laguna+Burger+at+Route+66+Casino/data=!4m7!3m6!1s0x87223f874444f50d:0x5bf8b5b30b748008!8m2!3d35.0280059!4d-106.9527827!16s%2Fg%2F11qbsqt5ph!19sChIJDfVERIc_IocRCIB0C7O1-Fs?authuser=0&hl=de&rclk=1,"14500 Central Ave SW, Rio Puerco, Albuquerque, NM 87121, Vereinigte Staaten",No Phone,No Hours,3.7,Als Inhaber eintragen
66 Diner,https://www.google.com/maps/place/66+Diner/data=!4m7!3m6!1s0x87220ca02200ab39:0x48ef02fae85ec42c!8m2!3d35.0821544!4d-106.6306872!16s%2Fg%2F1tmpkzh5!19sChIJOasAIqAMIocRLMRe6PoC70g?authuser=0&hl=de&rclk=1,"1405 Central Ave NE, Albuquerque, NM 87106, Vereinigte Staaten",+1 505-247-1421,No Hours,4.5,Speisekarte
Annie's Soup Kitchen,https://www.google.com/maps/place/Annie%27s+Soup+Kitchen/data=!4m7!3m6!1s0x87189ffff33f802f:0x62cf9736f495c882!8m2!3d35.116905!4d-106.534225!16s%2Fg%2F1tfgpvww!19sChIJL4A_8_-fGIcRgsiV9DaXz2I?authuser=0&hl=de&rclk=1,"3107 Eubank Blvd NE, Albuquerque, NM 87111, Vereinigte Staaten",+1 505-296-8601,No Hours,4.4,Speisekarte
Thunder Road Steakhouse & Cantina,https://www.google.com/maps/place/Thunder+Road+Steakhouse+%26+Cantina/data=!4m7!3m6!1s0x8718a11de6696e25:0x259d4bb61547f952!8m2!3d35.0283096!4d-106.9525909!16s%2Fg%2F11h3vbs999!19sChIJJW5p5h2hGIcRUvlHFbZLnSU?authuser=0&hl=de&rclk=1,"14500 Central Ave SW, Albuquerque, NM 87120, Vereinigte Staaten",+1 505-352-7888,No Hours,3.5,rt66casino.com
The Lobster House,https://www.google.com/maps/place/The+Lobster+House/data=!4m7!3m6!1s0x47c3c47f7d38b5e9:0x578a67bee5efbd30!8m2!3d50.8478926!4d4.3546542!16s%2Fg%2F11c2kdpn__!19sChIJ6bU4fX_Ew0cRML3v5b5nilc?authuser=0&hl=de&rclk=1,"Rue des Bouchers 34, 1000 Bruxelles, Belgien",+32 2 502 20 16,Geöffnet ⋅ Schließt um 22:00,4.7,Tisch reservieren
Le Bistro - Porte de Hal,https://www.google.com/maps/place/Le+Bistro+-+Porte+de+Hal/data=!4m7!3m6!1s0x47c3c465e98edb6d:0x12d48f1220d176e4!8m2!3d50.8335134!4d4.3452957!16s%2Fg%2F11bxglvkm9!19sChIJbduO6WXEw0cR5HbRIBKP1BI?authuser=0&hl=de&rclk=1,"Bd de Waterloo 138, 1000 Bruxelles, Belgien",+32 2 539 44 54,Geöffnet ⋅ Schließt um 23:00,4.6,Speisekarte
Der Tisch von Mus,https://www.google.com/maps/place/Der+Tisch+von+Mus/data=!4m7!3m6!1s0x47c3c47eb445e0c1:0x39dafca9b07e00b6!8m2!3d50.8438286!4d4.351985!16s%2Fg%2F11cm024_gq!19sChIJweBFtH7Ew0cRtgB-sKn82jk?authuser=0&hl=de&rclk=1,"Pl. de la Vieille Halle aux Blés 31, 1000 Bruxelles, Belgien",+32 2 511 05 86,No Hours,4.6,Tisch reservieren
Le Cor de Chasse,https://www.google.com/maps/place/Le+Cor+de+Chasse/data=!4m10!3m9!1s0x47c04fbb4f3e8465:0x25538909c7524cc6!5m2!4m1!1i2!8m2!3d50.3244444!4d5.53!16s%2Fg%2F1w2yylnn!19sChIJZYQ-T7tPwEcRxkxSxwmJUyU?authuser=0&hl=de&rclk=1,"Rue des Combattants 16, 6940 Durbuy, Belgien",+32 86 21 14 98,No Hours,4.6,lecordechasse.be
De Bomma,https://www.google.com/maps/place/De+Bomma/data=!4m7!3m6!1s0x47c3f73faf9a3ec7:0x47605cd5262d3c94!8m2!3d51.2219489!4d4.3979459!16s%2Fg%2F11h6m5087h!19sChIJxz6arz_3w0cRlDwtJtVcYEc?authuser=0&hl=de&rclk=1,"Willem Ogierplaats 3, 2000 Antwerpen, Belgien",+32 3 773 32 01,No Hours,4.4,Tisch reservieren
Dolce Amaro,https://www.google.com/maps/place/Dolce+Amaro/data=!4m7!3m6!1s0x47c3c46029f7b99b:0x793aa78f98aab14f!8m2!3d50.8292346!4d4.3555494!16s%2Fg%2F1thhjp0f!19sChIJm7n3KWDEw0cRT7GqmI-nOnk?authuser=0&hl=de&rclk=1,"Chau. de Charleroi 115/117, 1060 Bruxelles, Belgien",+32 2 538 17 00,No Hours,4.6,dolceamaro.be
Le Marmiton,https://www.google.com/maps/place/Le+Marmiton/data=!4m7!3m6!1s0x47c3c47f7dadd76d:0x11932af83021be00!8m2!3d50.8477202!4d4.3548659!16s%2Fg%2F1tdgzg1m!19sChIJbdetfX_Ew0cRAL4hMPgqkxE?authuser=0&hl=de&rclk=1,"Galerie de la Reine 38, Rue des Bouchers 43, 1000 Bruxelles, Belgien",+32 2 511 79 10,No Hours,4.5,Tisch reservieren
L’air du temps,https://www.google.com/maps/place/L%E2%80%99air+du+temps/data=!4m10!3m9!1s0x47c175c85c0b53bf:0x742d32144548dbc9!5m2!4m1!1i2!8m2!3d50.5929795!4d4.8330711!16s%2Fg%2F11x1nfy69!19sChIJv1MLXMh1wUcRydtIRRQyLXQ?authuser=0&hl=de&rclk=1,"Rue de la Croix Monet 2, 5310 Éghezée, Belgien",+32 81 81 30 48,No Hours,4.8,Speisekarte
Royal Indian Taste,https://www.google.com/maps/place/Royal+Indian+Taste/data=!4m7!3m6!1s0x47c3c52f4029f38b:0xa8265ba408b8b73b!8m2!3d50.8471724!4d4.3537503!16s%2Fg%2F11q4jx0xth!19sChIJi_MpQC_Fw0cRO7e4CKRbJqg?authuser=0&hl=de&rclk=1,"Rue du Marché aux Herbes 76, 1000 Bruxelles, Belgien",+32 2 513 07 19,Geöffnet ⋅ Schließt um 23:30,4.6,royalindiantaste.be
Baladi,https://www.google.com/maps/place/Baladi/data=!4m7!3m6!1s0x47c3c56cb2bc13e9:0x40fc46d3cbda305a!8m2!3d50.8457497!4d4.3526631!16s%2Fg%2F11py0whkhy!19sChIJ6RO8smzFw0cRWjDay9NG_EA?authuser=0&hl=de&rclk=1,"Rue des Chapeliers 16, 1000 Bruxelles, Belgien",+32 2 672 44 25,Geöffnet ⋅ Schließt um 22:30,4.8,Tisch reservieren
Der Rabassier,https://www.google.com/maps/place/Der+Rabassier/data=!4m7!3m6!1s0x47c3c47c3d905221:0x7447df8910eaa5d!8m2!3d50.7994397!4d4.3423137!16s%2Fg%2F11byp6q67j!19sChIJIVKQPXzEw0cRXaoOkfh9RAc?authuser=0&hl=de&rclk=1,"Av. Wolvendael 44, 1180 Uccle, Belgien",+32 497 75 69 05,No Hours,4.7,lerabassier.be
Comme chez soi,https://www.google.com/maps/place/Comme+chez+soi/data=!4m7!3m6!1s0x47c3c47a024d0c4d:0x9a3bd661c7d63db3!8m2!3d50.8423616!4d4.345815!16s%2Fm%2F03d4vdt!19sChIJTQxNAnrEw0cRsz3Wx2HWO5o?authuser=0&hl=de&rclk=1,"Pl. Rouppe 23, 1000 Bruxelles, Belgien",+32 2 512 29 21,No Hours,4.6,commechezsoi.be
Meat Factory Brussel,https://www.google.com/maps/place/Meat+Factory+Brussel/data=!4m7!3m6!1s0x47c3c516a2d804f7:0x840df552802ee000!8m2!3d50.8476063!4d4.348258!16s%2Fg%2F11y1nw8pvs!19sChIJ9wTYohbFw0cRAOAugFL1DYQ?authuser=0&hl=de&rclk=1,"Borgwal 9, 1000 Bruxelles, Belgien",+32 2 514 79 44,No Hours,4.7,meat-factory.be
Restaurant de l'Ogenblik,https://www.google.com/maps/place/Restaurant+de+l%27Ogenblik/data=!4m7!3m6!1s0x47c3c3809b9f72b7:0xcc937dff171b011e!8m2!3d50.8482827!4d4.3546005!16s%2Fg%2F1tq6j79y!19sChIJt3Kfm4DDw0cRHgEbF_99k8w?authuser=0&hl=de&rclk=1,"Galerie des Princes 1, 1000 Bruxelles, Belgien",+32 2 511 61 51,No Hours,4.3,Tisch reservieren
65 Grad,https://www.google.com/maps/place/65+Grad/data=!4m7!3m6!1s0x47c3c5ac29587221:0x10351d2e0db797ed!8m2!3d50.8278993!4d4.3626559!16s%2Fg%2F11gr0wjblm!19sChIJIXJYKazFw0cR7Ze3DS4dNRA?authuser=0&hl=de&rclk=1,"Av. Louise 173, 1000 Bruxelles, Belgien",+32 2 374 54 50,No Hours,4.8,Speisekarte
KOK SUR MER,https://www.google.com/maps/place/KOK+SUR+MER/data=!4m7!3m6!1s0x47dcaaf9ced7234b:0x3aad15409e867889!8m2!3d51.2562778!4d3.0561472!16s%2Fg%2F1wf213gw!19sChIJSyPXzvmq3EcRiXiGnkAVrTo?authuser=0&hl=de&rclk=1,"Warvinge 49, 8421 De Haan, Belgien",+32 59 43 09 70,No Hours,4.7,lekoksurmer.be
Bartholomeus,https://www.google.com/maps/place/Bartholomeus/data=!4m7!3m6!1s0x47c4a858558cea3d:0xb5a8e86df15372e!8m2!3d51.341722!4d3.243564!16s%2Fg%2F1thzsznd!19sChIJPeqMVVioxEcRLjcV34aOWgs?authuser=0&hl=de&rclk=1,"Zeedijk-Heist 267, 8301 Knokke-Heist, Belgien",+32 50 51 75 76,No Hours,4.8,restaurantbartholomeus.be
't Potverdoemmeke,https://www.google.com/maps/place/%27%27t+Potverdoemmeke%27/data=!4m7!3m6!1s0x47c3c368fa619c75:0x70da90e9431f672a!8m2!3d50.8592812!4d4.3817072!16s%2Fg%2F1q62ksnpp!19sChIJdZxh-mjDw0cRKmcfQ-mQ2nA?authuser=0&hl=de&rclk=1,"Av. Général Eisenhower 10, 1030 Schaerbeek, Belgien",+32 2 245 25 07,No Hours,4.4,Speisekarte
La bonne chère,https://www.google.com/maps/place/La+bonne+ch%C3%A8re/data=!4m7!3m6!1s0x47c3c47b9d1f58e7:0x81b289adf69e6be1!8m2!3d50.840337!4d4.3502952!16s%2Fg%2F11f_dw1t0z!19sChIJ51gfnXvEw0cR4Wue9q2JsoE?authuser=0&hl=de&rclk=1,"Rue Notre-Seigneur 19, 1000 Bruxelles, Belgien",+32 2 523 75 55,No Hours,4.9,Speisekarte
The Jane,https://www.google.com/maps/place/The+Jane/data=!4m7!3m6!1s0x47c3f718f6e100bd:0x6c40793f3040ef3d!8m2!3d51.2024803!4d4.4234505!16s%2Fg%2F11bxc656wl!19sChIJvQDh9hj3w0cRPe9AMD95QGw?authuser=0&hl=de&rclk=1,"Paradeplein 1, 2018 Antwerpen, Belgien",+32 3 808 44 65,No Hours,4.6,thejaneantwerp.com
BLOCK HOUSE,https://www.google.com/maps/place/BLOCK+HOUSE/data=!4m7!3m6!1s0x47a851dfe4ab0063:0x4a62c057045acb76!8m2!3d52.5206283!4d13.4050927!16s%2Fg%2F1td4cl5v!19sChIJYwCr5N9RqEcRdstaBFfAYko?authuser=0&hl=de&rclk=1,"Karl-Liebknecht-Str. 7, 10178 Berlin",No Phone,Geöffnet ⋅ Schließt um 23:00,4.4,Tisch reservieren
The Lobster House·Geöffneter Link,https://www.google.com/maps/place/The+Lobster+House/data=!4m7!3m6!1s0x47c3c47f7d38b5e9:0x578a67bee5efbd30!8m2!3d50.8478926!4d4.3546542!16s%2Fg%2F11c2kdpn__!19sChIJ6bU4fX_Ew0cRML3v5b5nilc?authuser=0&hl=de&rclk=1,"Rue des Bouchers 34, 1000 Bruxelles, Belgien",+32 2 502 20 16,Geöffnet ⋅ Schließt um 22:00,4.7,Tisch reservieren
Dolce Amaro·Geöffneter Link,https://www.google.com/maps/place/Dolce+Amaro/data=!4m7!3m6!1s0x47c3c46029f7b99b:0x793aa78f98aab14f!8m2!3d50.8292346!4d4.3555494!16s%2Fg%2F1thhjp0f!19sChIJm7n3KWDEw0cRT7GqmI-nOnk?authuser=0&hl=de&rclk=1,"Chau. de Charleroi 115/117, 1060 Bruxelles, Belgien",+32 2 538 17 00,No Hours,4.6,dolceamaro.be
Der Tisch von Mus·Geöffneter Link,https://www.google.com/maps/place/Der+Tisch+von+Mus/data=!4m7!3m6!1s0x47c3c47eb445e0c1:0x39dafca9b07e00b6!8m2!3d50.8438286!4d4.351985!16s%2Fg%2F11cm024_gq!19sChIJweBFtH7Ew0cRtgB-sKn82jk?authuser=0&hl=de&rclk=1,"Pl. de la Vieille Halle aux Blés 31, 1000 Bruxelles, Belgien",+32 2 511 05 86,No Hours,4.6,Tisch reservieren
Le Cor de Chasse·Geöffneter Link,https://www.google.com/maps/place/Le+Cor+de+Chasse/data=!4m10!3m9!1s0x47c04fbb4f3e8465:0x25538909c7524cc6!5m2!4m1!1i2!8m2!3d50.3244444!4d5.53!16s%2Fg%2F1w2yylnn!19sChIJZYQ-T7tPwEcRxkxSxwmJUyU?authuser=0&hl=de&rclk=1,"Rue des Combattants 16, 6940 Durbuy, Belgien",+32 86 21 14 98,No Hours,4.6,lecordechasse.be
De Bomma·Geöffneter Link,https://www.google.com/maps/place/De+Bomma/data=!4m7!3m6!1s0x47c3f73faf9a3ec7:0x47605cd5262d3c94!8m2!3d51.2219489!4d4.3979459!16s%2Fg%2F11h6m5087h!19sChIJxz6arz_3w0cRlDwtJtVcYEc?authuser=0&hl=de&rclk=1,"Willem Ogierplaats 3, 2000 Antwerpen, Belgien",+32 3 773 32 01,No Hours,4.4,Tisch reservieren
Le Marmiton·Geöffneter Link,https://www.google.com/maps/place/Le+Marmiton/data=!4m7!3m6!1s0x47c3c47f7dadd76d:0x11932af83021be00!8m2!3d50.8477202!4d4.3548659!16s%2Fg%2F1tdgzg1m!19sChIJbdetfX_Ew0cRAL4hMPgqkxE?authuser=0&hl=de&rclk=1,"Galerie de la Reine 38, Rue des Bouchers 43, 1000 Bruxelles, Belgien",+32 2 511 79 10,No Hours,4.5,Tisch reservieren
L’air du temps·Geöffneter Link,https://www.google.com/maps/place/L%E2%80%99air+du+temps/data=!4m10!3m9!1s0x47c175c85c0b53bf:0x742d32144548dbc9!5m2!4m1!1i2!8m2!3d50.5929795!4d4.8330711!16s%2Fg%2F11x1nfy69!19sChIJv1MLXMh1wUcRydtIRRQyLXQ?authuser=0&hl=de&rclk=1,"Rue de la Croix Monet 2, 5310 Éghezée, Belgien",+32 81 81 30 48,No Hours,4.8,Speisekarte
Royal Indian Taste·Geöffneter Link,https://www.google.com/maps/place/Royal+Indian+Taste/data=!4m7!3m6!1s0x47c3c52f4029f38b:0xa8265ba408b8b73b!8m2!3d50.8471724!4d4.3537503!16s%2Fg%2F11q4jx0xth!19sChIJi_MpQC_Fw0cRO7e4CKRbJqg?authuser=0&hl=de&rclk=1,"Rue du Marché aux Herbes 76, 1000 Bruxelles, Belgien",+32 2 513 07 19,Geöffnet ⋅ Schließt um 23:30,4.6,royalindiantaste.be
Baladi·Geöffneter Link,https://www.google.com/maps/place/Baladi/data=!4m7!3m6!1s0x47c3c56cb2bc13e9:0x40fc46d3cbda305a!8m2!3d50.8457497!4d4.3526631!16s%2Fg%2F11py0whkhy!19sChIJ6RO8smzFw0cRWjDay9NG_EA?authuser=0&hl=de&rclk=1,"Rue du Marché aux Herbes 76, 1000 Bruxelles, Belgien",+32 2 513 07 19,Geöffnet ⋅ Schließt um 23:30,4.6,royalindiantaste.be
Le Bistro - Porte de Hal·Geöffneter Link,https://www.google.com/maps/place/Le+Bistro+-+Porte+de+Hal/data=!4m7!3m6!1s0x47c3c465e98edb6d:0x12d48f1220d176e4!8m2!3d50.8335134!4d4.3452957!16s%2Fg%2F11bxglvkm9!19sChIJbduO6WXEw0cR5HbRIBKP1BI?authuser=0&hl=de&rclk=1,"Bd de Waterloo 138, 1000 Bruxelles, Belgien",+32 2 539 44 54,Geöffnet ⋅ Schließt um 23:00,4.6,Speisekarte
Der Rabassier·Geöffneter Link,https://www.google.com/maps/place/Der+Rabassier/data=!4m7!3m6!1s0x47c3c47c3d905221:0x7447df8910eaa5d!8m2!3d50.7994397!4d4.3423137!16s%2Fg%2F11byp6q67j!19sChIJIVKQPXzEw0cRXaoOkfh9RAc?authuser=0&hl=de&rclk=1,"Av. Wolvendael 44, 1180 Uccle, Belgien",+32 497 75 69 05,No Hours,4.7,lerabassier.be
Comme chez soi·Geöffneter Link,https://www.google.com/maps/place/Comme+chez+soi/data=!4m7!3m6!1s0x47c3c47a024d0c4d:0x9a3bd661c7d63db3!8m2!3d50.8423616!4d4.345815!16s%2Fm%2F03d4vdt!19sChIJTQxNAnrEw0cRsz3Wx2HWO5o?authuser=0&hl=de&rclk=1,"Pl. Rouppe 23, 1000 Bruxelles, Belgien",+32 2 512 29 21,No Hours,4.6,commechezsoi.be
Meat Factory Brussel·Geöffneter Link,https://www.google.com/maps/place/Meat+Factory+Brussel/data=!4m7!3m6!1s0x47c3c516a2d804f7:0x840df552802ee000!8m2!3d50.8476063!4d4.348258!16s%2Fg%2F11y1nw8pvs!19sChIJ9wTYohbFw0cRAOAugFL1DYQ?authuser=0&hl=de&rclk=1,"Pl. Rouppe 23, 1000 Bruxelles, Belgien",+32 2 512 29 21,No Hours,4.6,commechezsoi.be
Restaurant de l'Ogenblik·Geöffneter Link,https://www.google.com/maps/place/Restaurant+de+l%27Ogenblik/data=!4m7!3m6!1s0x47c3c3809b9f72b7:0xcc937dff171b011e!8m2!3d50.8482827!4d4.3546005!16s%2Fg%2F1tq6j79y!19sChIJt3Kfm4DDw0cRHgEbF_99k8w?authuser=0&hl=de&rclk=1,"Galerie des Princes 1, 1000 Bruxelles, Belgien",+32 2 511 61 51,No Hours,4.3,Tisch reservieren
65 Grad·Geöffneter Link,https://www.google.com/maps/place/65+Grad/data=!4m7!3m6!1s0x47c3c5ac29587221:0x10351d2e0db797ed!8m2!3d50.8278993!4d4.3626559!16s%2Fg%2F11gr0wjblm!19sChIJIXJYKazFw0cR7Ze3DS4dNRA?authuser=0&hl=de&rclk=1,"Av. Louise 173, 1000 Bruxelles, Belgien",+32 2 374 54 50,No Hours,4.8,Speisekarte
KOK SUR MER·Geöffneter Link,https://www.google.com/maps/place/KOK+SUR+MER/data=!4m7!3m6!1s0x47dcaaf9ced7234b:0x3aad15409e867889!8m2!3d51.2562778!4d3.0561472!16s%2Fg%2F1wf213gw!19sChIJSyPXzvmq3EcRiXiGnkAVrTo?authuser=0&hl=de&rclk=1,"Warvinge 49, 8421 De Haan, Belgien",+32 59 43 09 70,No Hours,4.7,lekoksurmer.be
Bartholomeus·Geöffneter Link,https://www.google.com/maps/place/Bartholomeus/data=!4m7!3m6!1s0x47c4a858558cea3d:0xb5a8e86df15372e!8m2!3d51.341722!4d3.243564!16s%2Fg%2F1thzsznd!19sChIJPeqMVVioxEcRLjcV34aOWgs?authuser=0&hl=de&rclk=1,"Zeedijk-Heist 267, 8301 Knokke-Heist, Belgien",+32 50 51 75 76,No Hours,4.8,restaurantbartholomeus.be
't Potverdoemmeke·Geöffneter Link,https://www.google.com/maps/place/%27%27t+Potverdoemmeke%27/data=!4m7!3m6!1s0x47c3c368fa619c75:0x70da90e9431f672a!8m2!3d50.8592812!4d4.3817072!16s%2Fg%2F1q62ksnpp!19sChIJdZxh-mjDw0cRKmcfQ-mQ2nA?authuser=0&hl=de&rclk=1,"Av. Général Eisenhower 10, 1030 Schaerbeek, Belgien",+32 2 245 25 07,No Hours,4.4,Speisekarte
La bonne chère·Geöffneter Link,https://www.google.com/maps/place/La+bonne+ch%C3%A8re/data=!4m7!3m6!1s0x47c3c47b9d1f58e7:0x81b289adf69e6be1!8m2!3d50.840337!4d4.3502952!16s%2Fg%2F11f_dw1t0z!19sChIJ51gfnXvEw0cR4Wue9q2JsoE?authuser=0&hl=de&rclk=1,"Rue Notre-Seigneur 19, 1000 Bruxelles, Belgien",+32 2 523 75 55,No Hours,4.9,Speisekarte
Le Petit Banville,https://www.google.com/maps/place/Le+Petit+Banville/data=!4m7!3m6!1s0x47e66f9685a4b3c3:0x93671952919003e4!8m2!3d48.8828809!4d2.2984338!16s%2Fg%2F1tk4qgb2!19sChIJw7OkhZZv5kcR5AOQkVIZZ5M?authuser=0&hl=de&rclk=1,"22 Rue Théodore de Banville, 75017 Paris, Frankreich",+33 1 42 27 45 19,Geöffnet ⋅ Schließt um 23:00,4.2,No website
Coq Au Vin,https://www.google.com/maps/place/Coq+Au+Vin/data=!4m7!3m6!1s0x47bd0c1b942c4723:0x23f7b8f5f4ca2a04!8m2!3d50.1050295!4d8.6880359!16s%2Fg%2F1tdy3lky!19sChIJI0cslBsMvUcRBCrK9PW49yM?authuser=0&hl=de&rclk=1,"Wallstraße 19, 60594 Frankfurt am Main",No Phone,No Hours,4.5,Tisch reservieren
